City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-0.27,98,100,6.2,GS,1694886603
1,ca mau,9.1769,105.15,24.94,90,55,1.68,VN,1694886603
2,invercargill,-46.4,168.35,9.45,83,100,3.13,NZ,1694886504
3,ilulissat,69.2167,-51.1,4.01,70,75,2.57,GL,1694886604
4,dudinka,69.4058,86.1778,2.57,77,100,3.9,RU,1694886604
5,lihue,21.9789,-159.3672,26.31,89,0,3.6,US,1694886604
6,hadibu,12.65,54.0333,26.43,82,57,6.6,YE,1694886604
7,cabo san lucas,22.8909,-109.9124,34.78,67,0,3.09,MX,1694886205
8,ushuaia,-54.8,-68.3,1.81,64,75,3.09,AR,1694886082
9,baruun-urt,46.6806,113.2792,7.79,91,96,2.11,MN,1694886605
10,blackmans bay,-43.0167,147.3167,9.07,78,8,9.11,AU,1694886605
11,port-aux-francais,-49.35,70.2167,6.28,93,100,18.19,TF,1694886605
12,georgetown,5.4112,100.3354,27.96,86,20,2.24,MY,1694886347
13,kunshan,31.3776,120.9543,23.94,95,1,0.6,CN,1694886606
14,yellowknife,62.456,-114.3525,12.29,76,100,4.12,CA,1694886606
15,richards bay,-28.783,32.0377,18.38,83,100,4.66,ZA,1694886606
16,atafu village,-8.5421,-172.5159,28.36,76,20,5.49,TK,1694886606
17,jamestown,42.097,-79.2353,22.23,46,0,2.57,US,1694886439
18,afaahiti,-17.75,-149.2833,24.93,86,73,7.61,PF,1694886607
19,hirara,24.8,125.2833,26.15,94,0,1.03,JP,1694886607
20,bethel,41.3712,-73.414,21.86,59,0,4.12,US,1694886607
21,isafjordur,66.0755,-23.124,9.02,76,100,11.83,IS,1694886607
22,holualoa,19.6228,-155.9522,24.88,84,20,2.06,US,1694886607
23,saipan,15.1355,145.701,27.39,94,75,2.57,MP,1694886608
24,papatowai,-46.5619,169.4708,7.06,93,100,3.85,NZ,1694886608
25,ancud,-41.8697,-73.8203,8.53,71,49,11.13,CL,1694886337
26,lazaro cardenas,17.9583,-102.2,29.32,66,97,1.03,MX,1694886608
27,puerto natales,-51.7236,-72.4875,4.95,62,100,2.55,CL,1694886608
28,brokopondo,4.75,-55.1667,33.9,47,10,1.77,SR,1694886608
29,calabozo,8.9242,-67.4293,33.21,53,14,1.9,VE,1694886610
30,puerto aysen,-45.4,-72.7,6.53,97,100,0.3,CL,1694886318
31,monticello,45.3055,-93.7941,22.14,61,20,4.12,US,1694886439
32,semnan,35.5729,53.3971,23.04,47,4,3.08,IR,1694886610
33,fort bragg,35.139,-79.006,28.28,39,0,2.06,US,1694886611
34,fale old settlement,-9.3852,-171.2468,28.19,76,20,4.34,TK,1694886611
35,hawaiian paradise park,19.5933,-154.9731,25.02,94,40,0.0,US,1694886611
36,west island,-12.1568,96.8225,24.99,78,75,5.66,CC,1694886611
37,port mathurin,-19.6833,63.4167,22.84,75,19,9.21,MU,1694886612
38,buala,-8.145,159.5921,25.11,87,90,1.85,SB,1694886612
39,kloulklubed,7.0419,134.2556,26.28,78,99,2.58,PW,1694886612
40,waitangi,-43.9535,-176.5597,12.12,89,100,4.47,NZ,1694886612
41,kerikeri,-35.2268,173.9474,4.95,92,19,1.88,NZ,1694886612
42,adamstown,-25.066,-130.1015,18.55,74,92,15.97,PN,1694886613
43,edinburgh of the seven seas,-37.0676,-12.3116,13.56,85,97,14.62,SH,1694886613
44,tiksi,71.6872,128.8694,-0.38,84,88,6.67,RU,1694886613
45,i-n-salah,27.1935,2.4607,38.7,8,4,4.47,DZ,1694886613
46,hobyo,5.3505,48.5268,25.58,78,58,11.26,SO,1694886613
47,iqaluit,63.7506,-68.5145,3.85,69,20,7.2,CA,1694886614
48,tabou,4.423,-7.3528,25.78,85,67,4.76,CI,1694886614
49,quincy,42.2529,-71.0023,21.71,56,100,10.8,US,1694886585
50,crane,31.3974,-102.3501,28.51,47,7,2.5,US,1694886614
51,plastun,44.7561,136.2939,14.87,87,98,1.8,RU,1694886614
52,arraial do cabo,-22.9661,-42.0278,24.98,65,0,8.23,BR,1694886615
53,manokwari,-0.8667,134.0833,25.56,82,100,1.45,ID,1694886615
54,enewetak,11.3474,162.3373,28.76,78,33,7.41,MH,1694886615
55,cockburn town,21.4612,-71.1419,30.98,62,40,3.6,TC,1694886586
56,qaqortoq,60.7167,-46.0333,5.39,64,3,10.57,GL,1694886615
57,idri,27.5,13.2667,29.01,15,0,3.76,LY,1694886615
58,panaba,21.2833,-88.2667,36.36,39,7,2.11,MX,1694886616
59,smithers,54.7804,-127.1743,6.18,75,100,2.57,CA,1694886616
60,hamilton,39.1834,-84.5333,26.23,47,0,2.06,US,1694886450
61,aasiaat,68.7098,-52.8699,2.53,76,95,4.77,GL,1694886616
62,kilju,40.9642,129.3278,18.55,93,100,1.78,KP,1694886617
63,margaret river,-33.95,115.0667,11.52,65,62,4.83,AU,1694886617
64,mount isa,-20.7333,139.5,10.87,58,0,0.0,AU,1694886617
65,villa canas,-34.0057,-61.6076,22.75,36,0,6.49,AR,1694886618
66,kone,-21.0595,164.8658,18.62,91,51,2.06,NC,1694886618
67,whitehorse,60.7161,-135.0538,7.67,68,75,4.63,CA,1694886618
68,port augusta,-32.5,137.7667,16.2,34,0,1.37,AU,1694886458
69,kingston,17.997,-76.7936,32.53,74,20,6.17,JM,1694886578
70,lompoc,34.6391,-120.4579,19.73,72,100,4.63,US,1694886618
71,revda,56.801,59.9303,11.09,89,85,1.34,RU,1694886619
72,abepura,-2.6333,140.5833,24.45,88,40,1.54,ID,1694886619
73,tikhvin,59.6451,33.5294,9.01,74,84,2.96,RU,1694886619
74,college,64.8569,-147.8028,12.34,75,75,2.57,US,1694886603
75,horta,38.5333,-28.6333,22.8,63,20,7.2,PT,1694886620
76,kupang,-10.1667,123.5833,26.32,65,13,4.12,ID,1694886620
77,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,5.14,EC,1694886620
78,avarua,-21.2078,-159.775,23.03,88,72,3.54,CK,1694886620
79,laguna,38.421,-121.4238,25.17,67,0,5.14,US,1694886620
80,lyantor,61.6195,72.1555,13.52,72,10,2.32,RU,1694886620
81,chinde,26.8418,88.0763,19.51,90,38,1.25,NP,1694886621
82,la passe,45.5549,-0.8967,28.13,63,68,1.99,FR,1694886621
83,porbandar,21.6422,69.6093,27.59,83,100,6.0,IN,1694886621
84,northam,51.0333,-4.2167,18.14,94,100,4.41,GB,1694886621
85,calvinia,-31.4707,19.776,4.76,86,100,3.93,ZA,1694886622
86,duobao,30.67,112.6895,23.16,74,1,2.19,CN,1694886622
87,ribeira grande,38.5167,-28.7,23.22,49,20,7.2,PT,1694886622
88,constantia,44.1833,28.65,19.38,77,75,5.89,RO,1694886622
89,alzamay,55.5562,98.6644,8.43,76,15,0.86,RU,1694886623
90,nevinnomyssk,44.6267,41.9453,15.63,83,83,0.2,RU,1694886623
91,anadyr,64.75,177.4833,2.28,100,75,3.0,RU,1694886623
92,zambezi,-13.5432,23.1047,24.42,22,0,2.09,ZM,1694886623
93,zalaszentgrot,46.9447,17.0792,20.98,68,16,3.55,HU,1694886623
94,stanley,54.868,-1.6985,13.21,91,100,3.74,GB,1694886623
95,kapa'a,22.0752,-159.319,26.72,83,0,3.6,US,1694886624
96,fort morgan,40.2503,-103.8,20.36,52,0,3.6,US,1694886451
97,tokar,18.4254,37.729,31.96,51,29,2.4,SD,1694886624
98,brookings,44.3114,-96.7984,20.19,65,20,5.14,US,1694886344
99,ribeira brava,32.65,-17.0667,23.4,52,77,3.22,PT,1694886624
100,vila do maio,15.1333,-23.2167,28.44,73,59,6.88,CV,1694886625
101,juneau,58.3019,-134.4197,11.23,95,100,6.17,US,1694886572
102,tosontsengel,48.7567,98.2839,5.04,75,100,1.64,MN,1694886625
103,peniche,39.3558,-9.3811,22.27,78,12,7.06,PT,1694886625
104,geraldton,-28.7667,114.6,13.23,82,40,2.57,AU,1694886625
105,daxing,39.7214,116.3292,20.98,74,18,1.52,CN,1694886625
106,albertina,-22.2008,-46.6158,31.0,24,0,3.0,BR,1694886626
107,vadso,70.0744,29.7487,8.49,93,75,1.03,NO,1694886626
108,port lincoln,-34.7333,135.8667,14.49,83,0,2.89,AU,1694886626
109,mulayjah,27.271,48.4242,32.79,20,1,2.06,SA,1694886626
110,howard springs,-12.497,131.047,23.95,85,38,3.76,AU,1694886626
111,kapuskasing,49.4169,-82.4331,18.05,68,75,3.09,CA,1694886527
112,longyearbyen,78.2186,15.6401,-1.09,74,75,2.57,SJ,1694886627
113,bandundu,-3.3167,17.3667,27.97,63,80,1.67,CD,1694886627
114,ceeldheer,3.8488,47.1806,25.48,77,77,9.46,SO,1694886627
115,kolonia town,6.964,158.206,25.0,94,40,1.54,FM,1694886627
116,saint-philippe,-21.3585,55.7679,21.77,78,35,5.91,RE,1694886628
117,bondo,3.8146,23.6866,22.1,97,79,0.91,CD,1694886628
118,turpan,42.9333,89.1667,23.71,26,30,1.03,CN,1694886628
119,rongelap,11.1635,166.8941,28.7,79,67,7.73,MH,1694886628
120,sinabang,2.4803,96.3801,25.82,85,95,3.37,ID,1694886628
121,palikir - national government center,6.9248,158.1611,24.41,94,40,1.54,FM,1694886629
122,erenhot,43.6475,111.9767,17.29,57,99,2.82,CN,1694886629
123,almeirim,-1.5233,-52.5817,36.04,37,16,2.78,BR,1694886470
124,atherton,53.5237,-2.4935,16.86,83,100,2.68,GB,1694886629
125,tura,25.5198,90.2201,24.71,90,71,0.74,IN,1694886629
126,luza,60.6308,47.2512,10.78,89,77,2.83,RU,1694886630
127,rio grande,-32.035,-52.0986,30.06,59,21,5.56,BR,1694886630
128,haiku-pauwela,20.9219,-156.3051,27.25,73,40,3.13,US,1694886630
129,sur,22.5667,59.5289,28.66,71,51,5.88,OM,1694886630
130,punta arenas,-53.15,-70.9167,4.06,65,75,3.6,CL,1694886630
131,panacan,9.2463,118.4082,26.29,82,46,1.62,PH,1694886631
132,fabens,31.5023,-106.1586,28.62,38,21,7.17,US,1694886631
133,kodiak,57.79,-152.4072,8.73,100,100,0.0,US,1694886631
134,tierp,60.3427,17.5181,16.9,78,99,2.1,SE,1694886631
135,hermanus,-34.4187,19.2345,11.56,66,100,8.44,ZA,1694886631
136,kenai,60.5544,-151.2583,8.41,94,100,9.77,US,1694886632
137,kirakira,-10.4544,161.9205,24.24,84,95,3.09,SB,1694886632
138,khorramabad,33.4878,48.3558,23.79,17,0,2.06,IR,1694886369
139,port douglas,-16.4833,145.4667,20.97,74,11,6.36,AU,1694886632
140,antalaha,-14.9003,50.2788,20.9,90,3,2.84,MG,1694886632
141,wanxian,30.8039,108.3897,24.78,80,28,0.71,CN,1694886632
142,booue,-0.0921,11.9385,25.47,85,90,1.11,GA,1694886633
143,codrington,-38.2667,141.9667,10.58,97,29,3.57,AU,1694886633
144,westport,41.1415,-73.3579,22.94,58,0,6.17,US,1694886334
145,nouadhibou,20.931,-17.0347,24.99,65,2,8.75,MR,1694886633
146,al mutayrifi,25.4788,49.5576,35.19,19,8,3.48,SA,1694886633
147,vorgashor,67.5833,63.95,7.53,82,80,3.17,RU,1694886634
148,niwari,28.8833,77.5333,26.53,86,94,3.69,IN,1694886634
149,igarka,67.4667,86.5833,5.06,73,85,7.27,RU,1694886634
150,port alfred,-33.5906,26.891,15.1,58,21,4.47,ZA,1694886634
151,sodankyla,67.4167,26.6,8.2,78,100,1.64,FI,1694886635
152,klyuchi,52.2667,79.1667,12.93,75,42,2.57,RU,1694886635
153,matoury,4.8483,-52.3317,32.98,49,0,7.2,GF,1694886492
154,albany,42.6001,-73.9662,21.99,56,100,1.79,US,1694886576
155,roma,43.2128,-75.4557,22.73,52,0,7.2,US,1694886331
156,iskateley,67.6803,53.1512,4.5,80,95,1.22,RU,1694886635
157,dunedin,-45.8742,170.5036,8.09,97,100,0.22,NZ,1694886488
158,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,100,75,3.0,RU,1694886636
159,motueka,-41.1333,173.0167,13.94,64,84,2.77,NZ,1694886636
160,aktau,43.65,51.2,20.32,45,27,2.0,KZ,1694886636
161,tazovsky,67.4667,78.7,5.41,70,92,2.48,RU,1694886636
162,irtyshsk,53.3333,75.4572,13.99,71,80,0.97,KZ,1694886636
163,kongolo,-5.3833,27.0,29.21,47,85,5.43,CD,1694886637
164,guerrero negro,27.9769,-114.0611,23.25,63,21,6.84,MX,1694886637
165,thompson,55.7435,-97.8558,8.09,93,100,1.54,CA,1694886391
166,saint croix,17.7397,-64.7388,33.25,76,75,6.69,VI,1694886637
167,vilyuchinsk,52.9306,158.4028,6.15,82,47,3.39,RU,1694886637
168,taos,36.4072,-105.5731,19.75,65,20,1.54,US,1694886526
169,san patricio,28.017,-97.5169,32.92,46,58,2.11,US,1694886638
170,anloga,5.7947,0.8973,25.62,87,96,6.63,GH,1694886638
171,tralee,52.2704,-9.7026,14.14,77,75,4.12,IE,1694886545
172,bredasdorp,-34.5322,20.0403,11.61,62,99,7.68,ZA,1694886638
173,yeed,4.55,43.0333,30.57,34,54,6.77,SO,1694886638
174,bilibino,68.0546,166.4372,2.16,95,100,0.6,RU,1694886639
175,two rivers,44.1539,-87.5693,24.47,70,0,2.57,US,1694886639
176,yerofey pavlovich,53.9667,121.9667,7.39,64,99,1.33,RU,1694886639
177,mead,47.7674,-117.3549,24.66,40,0,0.45,US,1694886504
178,mandalgovi,45.7625,106.2708,8.06,75,52,3.58,MN,1694886640
179,vernon,50.2581,-119.2691,19.74,37,0,2.06,CA,1694886640
180,saint-francois,46.4154,3.9054,18.69,88,91,2.06,FR,1694886640
181,flin flon,54.7682,-101.865,12.91,76,100,4.63,CA,1694886641
182,katsuren-haebaru,26.3369,127.8719,28.21,88,75,2.06,JP,1694886641
183,port elizabeth,-33.918,25.5701,15.16,57,40,10.8,ZA,1694886641
184,badger,64.8,-147.5333,12.3,71,75,2.57,US,1694886641
185,fisterra,42.9049,-9.2629,22.08,82,0,7.63,ES,1694886642
186,akureyri,65.6835,-18.0878,9.96,71,75,3.6,IS,1694886642
187,santa ana de yacuma,-13.75,-65.4333,36.97,34,20,5.14,BO,1694886642
188,wynyard,-41.0,145.7167,10.0,73,19,6.37,AU,1694886642
189,praia da vitoria,38.7333,-27.0667,23.2,68,40,5.86,PT,1694886642
190,eyl,7.9803,49.8164,26.05,71,78,9.84,SO,1694886642
191,cidreira,-30.1811,-50.2056,22.06,61,26,3.48,BR,1694886643
192,happy valley-goose bay,53.3168,-60.3315,19.17,59,75,1.03,CA,1694886643
193,tsiombe,-25.3,45.4833,23.54,63,0,0.76,MG,1694886643
194,east london,-33.0153,27.9116,15.52,47,0,7.2,ZA,1694886643
195,katsuura,35.1333,140.3,26.15,92,87,4.61,JP,1694886643
196,chernogorsk,53.8236,91.2842,10.76,93,0,0.0,RU,1694886644
197,newman,37.3138,-121.0208,24.57,40,2,0.89,US,1694886644
198,neftegorsk,52.802,51.166,13.7,76,90,2.58,RU,1694886644
199,quelimane,-17.8786,36.8883,26.97,69,0,5.81,MZ,1694886644
200,beloyarskiy,63.7119,66.6722,14.44,66,20,0.45,RU,1694886644
